t,n_trades,total_volume,n_open_products,total_orders,p0_trades,p0_volume,p0_orders,p1_trades,p1_volume,p1_orders,p2_trades,p2_volume,p2_orders
0,0,0.0,1,2,0,0,2,0,0,0,0,0,0
1,0,0.0,1,4,0,0,4,0,0,0,0,0,0
2,0,0.0,1,6,0,0,6,0,0,0,0,0,0
3,0,0.0,1,8,0,0,8,0,0,0,0,0,0
4,0,0.0,1,10,0,0,10,0,0,0,0,0,0
5,0,0.0,1,12,0,0,12,0,0,0,0,0,0
6,0,0.0,1,14,0,0,14,0,0,0,0,0,0
7,0,0.0,1,16,0,0,16,0,0,0,0,0,0
8,0,0.0,1,18,0,0,18,0,0,0,0,0,0
9,0,0.0,1,20,0,0,20,0,0,0,0,0,0
10,0,0.0,1,22,0,0,22,0,0,0,0,0,0
11,0,0.0,1,24,0,0,24,0,0,0,0,0,0
12,0,0.0,1,26,0,0,26,0,0,0,0,0,0
13,0,0.0,1,28,0,0,28,0,0,0,0,0,0
14,0,0.0,1,30,0,0,30,0,0,0,0,0,0
15,0,0.0,1,32,0,0,32,0,0,0,0,0,0
16,0,0.0,1,34,0,0,34,0,0,0,0,0,0
17,0,0.0,1,36,0,0,36,0,0,0,0,0,0
18,0,0.0,1,38,0,0,38,0,0,0,0,0,0
19,0,0.0,1,40,0,0,40,0,0,0,0,0,0
20,0,0.0,1,42,0,0,42,0,0,0,0,0,0
21,0,0.0,1,44,0,0,44,0,0,0,0,0,0
22,0,0.0,1,46,0,0,46,0,0,0,0,0,0
23,0,0.0,1,48,0,0,48,0,0,0,0,0,0
24,0,0.0,1,50,0,0,50,0,0,0,0,0,0
25,0,0.0,1,52,0,0,52,0,0,0,0,0,0
26,0,0.0,1,54,0,0,54,0,0,0,0,0,0
27,0,0.0,1,56,0,0,56,0,0,0,0,0,0
28,0,0.0,1,58,0,0,58,0,0,0,0,0,0
29,0,0.0,1,60,0,0,60,0,0,0,0,0,0
30,0,0.0,1,62,0,0,62,0,0,0,0,0,0
31,0,0.0,1,64,0,0,64,0,0,0,0,0,0
32,0,0.0,1,66,0,0,66,0,0,0,0,0,0
33,0,0.0,1,68,0,0,68,0,0,0,0,0,0
34,0,0.0,1,70,0,0,70,0,0,0,0,0,0
35,0,0.0,1,72,0,0,72,0,0,0,0,0,0
36,0,0.0,1,74,0,0,74,0,0,0,0,0,0
37,0,0.0,1,76,0,0,76,0,0,0,0,0,0
38,0,0.0,1,78,0,0,78,0,0,0,0,0,0
