t;best_bid;best_ask;midprice;spread;book_size;trades
0;35,96087103608107;37,164908494181034;36,562889765131054;1,204037458099961;7;0
1;34,605501825767675;46,80924171490473;40,7073717703362;12,203739889137054;4;2
2;40,28275017666828;49,517548326156785;44,90014925141253;9,234798149488505;5;0
3;;48,68245370789947;;;5;4
4;45,42085068383318;48,21242042813098;46,81663555598208;2,791569744297803;4;2
5;44,7674684364739;45,39682419807085;45,082146317272375;0,6293557615969547;4;4
6;43,55071329613915;44,27470618356637;43,91270973985276;0,7239928874272223;4;2
7;43,77279734397472;43,89985275627864;43,83632505012668;0,1270554123039176;5;0
8;39,49921873735867;63,59923510542752;51,54922692139309;24,10001636806885;4;3
9;51,33752155978864;70,95697592416516;61,1472487419769;19,619454364376523;3;1
10;49,08845664231583;;;;2;4
11;52,616493562361256;57,24830580394449;54,93239968315287;4,6318122415832335;4;2
12;46,62065712130667;51,406067282847246;49,01336220207696;4,785410161540575;4;0
13;40,04413349080194;70,04224725769649;55,043190374249214;29,998113766894548;3;3
14;44,71244800570326;46,38348409509972;45,547966050401484;1,671036089396459;3;2
15;25,216712675264922;;;;2;3
16;84,10935864065021;85,08064089155165;84,59499976610093;0,9712822509014387;3;3
17;49,06496650576765;50,525977140598584;49,79547182318312;1,4610106348309344;4;2
18;46,42815366314543;46,743019119024396;46,58558639108492;0,31486545587896586;4;4
19;39,80494354356058;51,121509109026164;45,46322632629337;11,31656556546558;4;4
20;44,785536817632334;64,57213259080523;54,67883470421878;19,78659577317289;3;3
21;39,56216709911072;;;;3;2
22;32,26656358589656;46,002732583862965;39,134648084879764;13,736168997966402;4;2
23;43,630623842040855;52,28642806374867;47,95852595289476;8,655804221707818;3;3
24;38,03987062522437;45,34684094886805;41,69335578704621;7,306970323643682;4;3
25;13,346308653508627;45,23945168627779;29,29288016989321;31,89314303276916;3;2
26;;69,95820889148314;;;2;2
27;44,45343783042664;;;;3;3
28;27,794697403653153;53,46145001241507;40,62807370803411;25,666752608761918;4;0
29;41,47039552904958;50,75245404224299;46,111424785646285;9,282058513193405;3;2
30;41,3583020894117;57,72570039901957;49,54200124421564;16,36739830960787;4;3
31;43,52685729922554;48,297255030577475;45,91205616490151;4,770397731351935;4;3
32;34,025781456901136;49,166959103489646;41,59637028019539;15,14117764658851;4;0
33;44,676009480926595;45,77188390719799;45,22394669406229;1,0958744262713935;5;1
34;26,81461479061135;;;;2;2
35;32,7029123994422;59,829702563273266;46,26630748135773;27,126790163831068;4;0
36;49,73595700929968;59,34392200754445;54,539939508422066;9,607964998244768;3;3
37;27,507290944985556;52,20831285263281;39,857801898809186;24,701021907647252;3;4
38;44,45995696662378;45,73527984017609;45,097618403399935;1,2753228735523123;4;2
39;43,02912333403827;53,212177801476514;48,120650567757394;10,183054467438247;4;2
40;43,611481421874046;47,252389801663405;45,43193561176872;3,6409083797893587;4;0
41;;58,293949507149044;;;5;2
42;44,34751178991404;62,755426372497205;53,551469081205624;18,407914582583167;4;1
43;46,77760132491335;50,61618326923458;48,696892297073965;3,838581944321234;3;3
44;29,981046851485324;46,69213370638921;38,336590278937265;16,711086854903883;4;2
45;29,083595351112468;41,32908304177258;35,20633919644252;12,24548769066011;4;2
46;30,499495724974928;45,69701708314322;38,09825640405907;15,197521358168295;4;1
47;;48,75894531106686;;;5;2
48;44,270241058779554;53,06215499199369;48,66619802538662;8,791913933214133;3;2
49;45,48586861201672;47,102267049630235;46,29406783082348;1,6163984376135119;4;3
50;44,658927562346;45,79862685170264;45,22877720702432;1,139699289356642;3;2
51;;49,54452028927376;;;3;1
52;44,996029766719154;51,33018013719473;48,16310495195694;6,334150370475577;3;3
53;27,727712037802412;;;;2;2
54;;46,29962102825428;;;2;2
55;45,22663422343606;45,94839636173483;45,587515292585444;0,7217621382987716;4;1
56;41,72499416932237;48,20965804441528;44,967326106868825;6,484663875092906;3;3
57;45,87434311698918;46,02250745750046;45,94842528724482;0,14816434051127914;4;2
58;44,152182924625365;45,1973279948858;44,67475545975559;1,045145070260439;3;3
59;36,15421220794758;49,2390552212438;42,69663371459569;13,084843013296222;4;2
60;40,17007493042191;;;;2;4
61;;50,54698512184298;;;3;2
62;34,776647998785926;47,49583762209295;41,13624281043944;12,719189623307024;4;0
63;;50,037774169434044;;;4;0
64;45,8232044415868;46,70766325042721;46,26543384600701;0,8844588088404066;4;4
65;44,47041644101898;45,85776378898585;45,164090115002416;1,387347347966866;5;1
66;44,599619339246566;59,851581117753;52,225600228499786;15,251961778506434;4;2
67;47,762211755354215;49,61755727704311;48,68988451619866;1,8553455216888963;3;3
68;38,99703212353107;;;;3;3
