agent_id,agent_type,capacity,da_position,est_imb_price_down,est_imb_price_up,imbalance,imbalance_cost,position,product_id,revenue,t
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,-0.3,12.0,0.3,0,14.116513703679924,1
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,1.0000000000000009,60.00000000000006,-1.0000000000000009,0,-47.94990705107314,2
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,1.5000000000000002,90.00000000000001,-1.5000000000000002,0,-74.81407869560726,3
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,2.4,144.0,-2.4,0,-120.2850159652542,4
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,3.600000000000001,216.00000000000006,-3.600000000000001,0,-181.94141659450804,5
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,5.400000000000002,324.0000000000001,-5.400000000000002,0,-271.7067676966562,6
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,6.600000000000004,396.0000000000002,-6.600000000000004,0,-332.29768376413915,7
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,6.000000000000004,360.0000000000003,-6.000000000000004,0,-302.66056489949045,8
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,6.900000000000004,414.0000000000002,-6.900000000000004,0,-345.41123721213035,9
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,7.500000000000004,450.0000000000003,-7.500000000000004,0,-375.8182063203664,10
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,6.900000000000005,414.0000000000003,-6.900000000000005,0,-346.6578984737006,11
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,7.2000000000000055,432.00000000000034,-7.2000000000000055,0,-360.59799992228557,12
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,7.800000000000006,468.00000000000034,-7.800000000000006,0,-391.25648509648596,13
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,9.500000000000012,570.0000000000008,-9.500000000000012,0,-476.3304018263633,14
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,11.300000000000018,678.0000000000011,-11.300000000000018,0,-567.9428796963056,15
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,11.60000000000002,696.0000000000011,-11.60000000000002,0,-585.3247536373735,16
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,12.20000000000002,732.0000000000013,-12.20000000000002,0,-613.885527840085,17
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,12.200000000000019,732.0000000000011,-12.200000000000019,0,-612.9923817345898,18
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,12.80000000000002,768.0000000000013,-12.80000000000002,0,-642.7874877486361,19
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,13.700000000000022,822.0000000000014,-13.700000000000022,0,-687.9652404846963,20
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,14.300000000000018,858.0000000000011,-14.300000000000018,0,-719.7874318386029,21
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,16.700000000000017,1002.000000000001,-16.700000000000017,0,-841.3298299803895,22
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.50000000000002,1110.0000000000014,-18.50000000000002,0,-932.0749576004998,23
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.000000000000018,1020.000000000001,-17.000000000000018,0,-859.7393978057407,24
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.60000000000002,1056.0000000000011,-17.60000000000002,0,-892.285833273969,25
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.000000000000018,1020.000000000001,-17.000000000000018,0,-865.5233074337394,26
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.400000000000023,1104.0000000000014,-18.400000000000023,0,-939.595850674085,27
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.100000000000023,1086.0000000000014,-18.100000000000023,0,-926.3178217277533,28
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.50000000000002,1050.0000000000014,-17.50000000000002,0,-896.7999424055193,29
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.400000000000023,1104.0000000000014,-18.400000000000023,0,-942.6379867416676,30
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,19.000000000000025,1140.0000000000016,-19.000000000000025,0,-971.9006687770891,31
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,19.300000000000026,1158.0000000000016,-19.300000000000026,0,-988.7154678531309,32
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.400000000000023,1104.0000000000014,-18.400000000000023,0,-940.5293767938464,33
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.50000000000002,1050.0000000000014,-17.50000000000002,0,-895.4502859398505,34
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,17.50000000000002,1050.0000000000014,-17.50000000000002,0,-895.7167703318682,35
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.300000000000026,1098.0000000000016,-18.300000000000026,0,-938.6016057823279,36
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.600000000000026,1116.0000000000016,-18.600000000000026,0,-954.464318134451,37
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.600000000000026,1116.0000000000016,-18.600000000000026,0,-953.7956794424192,38
10,RandomLiquidityAgent,100.0,0.0,0.0,0.0,18.300000000000026,1098.0000000000016,-18.300000000000026,0,-938.1930356781143,39
