t;agent_type;position;revenue;imbalance;da_position;capacity
84;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
85;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
86;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
87;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
88;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
89;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
90;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
91;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
92;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
93;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
94;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
95;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
96;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
97;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
98;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
99;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
100;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
101;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
102;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
103;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
104;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
105;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
106;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
107;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
108;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
109;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
110;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
111;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
112;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
113;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
114;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
115;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
116;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
117;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
118;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
119;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
120;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
121;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
122;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
123;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
124;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
125;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
126;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
127;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
128;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
129;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
130;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
131;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
132;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
133;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
134;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
135;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
136;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
137;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
138;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
139;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
140;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
141;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
142;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
143;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
144;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
145;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
146;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
147;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
148;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
149;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
150;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
151;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
152;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
153;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
154;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
155;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
156;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
157;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
158;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
159;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
160;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
161;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
162;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
163;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
164;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
165;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
